Gold_Cust_ID,DM Mail Date
213,5/8/2023
213,9/9/2024
213,11/6/2023
213,4/8/2024
213,4/7/2025
213,7/5/2023
213,11/18/2024
213,5/6/2024
213,9/5/2023
213,11/29/2023
801,11/29/2023
801,5/6/2024
801,7/5/2023
801,11/18/2024
801,9/5/2023
801,11/6/2023
801,9/9/2024
801,4/8/2024
801,4/7/2025
1074,5/6/2024
1074,11/18/2024
1074,11/29/2023
1074,9/5/2023
1074,4/7/2025
1074,11/6/2023
2071,9/9/2024
2071,7/5/2023
2071,11/29/2023
2071,11/18/2024
2071,4/8/2024
2071,11/6/2023
2071,5/8/2023
2071,5/6/2024
2071,4/7/2025
5038,11/29/2023
5038,4/7/2025
5038,9/9/2024
5038,5/8/2023
5038,5/6/2024
5038,11/6/2023
5038,4/8/2024
5038,9/5/2023
5038,7/5/2023
5038,11/18/2024
9822,11/18/2024
9822,9/5/2023
9822,5/6/2024
9822,11/6/2023
9822,7/5/2023
9822,4/7/2025
9822,11/29/2023
9822,5/8/2023
10119,9/5/2023
10119,5/8/2023
10119,5/6/2024
10119,7/5/2023
10119,11/29/2023
10119,11/6/2023
10119,11/18/2024
11499,9/9/2024
11499,11/18/2024
11499,11/6/2023
11499,5/6/2024
11499,9/5/2023
13893,4/8/2024
13893,11/18/2024
13893,9/5/2023
13893,7/5/2023
13893,11/6/2023
13893,5/6/2024
13893,5/8/2023
13893,4/7/2025
13893,9/9/2024
13893,11/29/2023
14348,5/6/2024
14348,4/8/2024
14348,11/29/2023
14348,5/8/2023
14348,4/7/2025
14348,11/18/2024
14348,9/9/2024
14348,5/8/2023
14348,11/6/2023
16010,9/9/2024
16010,9/9/2024
16010,9/5/2023
16010,5/6/2024
16010,7/5/2023
16010,11/29/2023
16010,5/8/2023
16010,11/18/2024
16010,4/8/2024
16010,11/6/2023
16010,4/7/2025
17791,11/6/2023
17791,4/7/2025
19413,5/6/2024
19413,7/5/2023
19413,11/18/2024
19413,9/5/2023
19413,9/9/2024
19413,11/29/2023
19413,5/8/2023
19413,4/7/2025
19413,11/6/2023
20845,5/6/2024
20845,5/8/2023
20845,9/9/2024
20845,4/8/2024
20845,11/6/2023
21607,5/6/2024
21607,11/18/2024
21607,11/29/2023
21607,5/8/2023
21607,9/9/2024
21607,9/5/2023
21607,4/8/2024
21607,4/7/2025
21607,11/6/2023
26066,9/9/2024
26066,5/6/2024
26066,11/18/2024
26066,11/6/2023
26066,4/8/2024
34404,4/7/2025
34404,9/5/2023
34404,5/6/2024
34404,11/6/2023
34404,11/29/2023
34404,5/8/2023
34404,4/8/2024
34404,7/5/2023
34404,9/9/2024
34404,11/18/2024
38037,5/8/2023
38037,11/18/2024
38037,11/6/2023
38037,5/6/2024
38037,4/8/2024
38037,9/9/2024
38037,11/29/2023
39582,4/7/2025
39582,5/8/2023
39582,11/18/2024
39582,11/6/2023
39582,9/5/2023
42296,5/8/2023
42296,11/29/2023
42296,11/6/2023
42296,5/6/2024
42296,4/7/2025
42296,1/16/2024
42296,10/16/2023
42296,11/18/2024
42296,4/8/2024
44766,11/6/2023
44766,9/9/2024
44766,9/5/2023
44766,5/6/2024
44766,11/29/2023
44766,11/18/2024
49060,5/8/2023
50772,4/7/2025
50772,11/6/2023
50772,5/6/2024
50772,5/8/2023
50772,11/18/2024
50772,9/5/2023
52025,11/6/2023
52025,9/5/2023
52025,5/6/2024
52025,4/7/2025
52025,11/18/2024
52025,11/29/2023
52025,5/8/2023
55315,9/5/2023
55315,9/9/2024
55315,4/7/2025
55315,11/6/2023
55315,4/8/2024
55315,5/8/2023
55315,11/29/2023
55315,7/5/2023
55315,11/18/2024
55315,5/6/2024
59665,9/5/2023
59665,5/8/2023
59665,5/6/2024
59665,7/5/2023
59665,11/18/2024
59665,11/6/2023
59740,4/7/2025
59740,11/18/2024
59740,5/6/2024
59740,4/8/2024
59740,11/6/2023
59740,5/8/2023
59740,7/5/2023
59740,11/29/2023
59740,9/5/2023
63850,4/8/2024
63850,9/5/2023
63850,9/9/2024
63850,5/8/2023
63850,4/7/2025
63850,5/6/2024
63850,11/29/2023
63850,11/18/2024
63850,11/6/2023
69042,4/7/2025
69042,5/8/2023
69042,11/6/2023
69042,11/18/2024
69042,4/8/2024
69042,9/9/2024
69042,5/6/2024
70184,5/8/2023
70417,5/8/2023
70417,9/5/2023
70734,5/8/2023
70734,11/18/2024
70734,9/9/2024
